# sent_id = aa_000
# text = T'ad faagail bee ec oaieyn ny merriu.
1-2	T'ad	_	_	_	_	_	_	_	
3	oo	oo	PRON	_	_	2	nsubj	_	tú
4	hene	hene	PRON	_	_	3	nmod	_	féin
5	ayns	ayns	ADP	_	_	7	case	_	sa
6	y	yn	DET	_	_	7	det	_	
7	çhamyr-vrastyl	shamyr-vrastyl	NOUN	_	_	2	xcomp:pred	_	seomra ranga
8	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_133
# text = Ta mish as Roxy geaishtagh riu ayns y gharey.
# text_ga = Tá mise agus Roxy ag éisteacht libh sa ghairdín.
1	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
2	mish	mee	PRON	_	_	1	nsubj	_	mise
3	as	as	CCONJ	_	_	4	cc	_	agus
4	Roxy	Roxy	PROPN	_	_	2	conj	_	Roxy
5	geaishtagh	eaishtagh	NOUN	_	_	1	xcomp	_	éisteacht
6-7	riu	_	_	_	_	_	_	_	
6	rish	rish	ADP	_	_	7	case	_	libh
7	shiu	shiu	PRON	_	_	5	obl	_	
8	ayns	ayns	ADP	_	_	10	case	_	sa
9	y	yn	DET	_	_	10	det	_	
10	gharey	garey	NOUN	_	_	5	obl	_	gharraí
11	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_134
# text = As va ooilley'n pobble er nyn jaglym noi Jeremiah ayns thie yn Chiarn.
# text_ga = Agus bhí an pobal uile ag plódú thart ar Irimia i dTeampall an Tiarna.
# text_en = And all the people were gathered against Jeremiah in the house of the LORD.
1	As	as	CCONJ	_	_	2	cc	_	Agus
2	va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	bhí
3-4	ooilley'n	_	_	_	_	_	_	_	
3	ooilley	ooilley	NOUN	_	_	2	nsubj	_	iomlán an
4	'n	yn	DET	_	_	5	det	_	
5	pobble	pobble	NOUN	_	_	3	nmod	_	pobal
6	er	er	ADP	_	_	8	case	_	á dtionól
7	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	8	nmod:poss	_	
8	jaglym	çhaglym	NOUN	_	_	2	xcomp	_	
9	noi	noi	ADP	_	_	10	case	_	in aghaidh
10	Jeremiah	Jeremiah	PROPN	_	_	8	obl	_	Irimia
11	ayns	ayns	ADP	_	_	12	case	_	i dteach
12	thie	thie	NOUN	_	_	8	obl	_	
13	yn	yn	DET	_	_	14	det	_	an
14	Chiarn	chiarn	NOUN	_	_	12	nmod	_	Tiarna
15	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_135
# text = Eisht ren ymmodee jeh ny Hewnyn v'er jeet magh gys Moirrey, as v'er vakin ny reddyn ren Yeesey, credjal ayn.
# text_ga = Ansin a lán do na Giúdaigh a tháinig go Máire agus Marta agus a chonaic a ndearna sé, chreid siad ann.
# text_en = Then many of the Jews which came to Mary, and had seen the things which Jesus did, believed on him.
1	Eisht	eisht	ADV	_	_	2	advmod	_	Ansin
2	ren	jean	VERB	_	Mood=Ind|Tense=Past	0	root	_	rinne
3	ymmodee	ymmodee	NOUN	_	_	2	nsubj	_	mórán
4	jeh	jeh	ADP	_	_	6	case	_	de
5	ny	ny	DET	_	_	6	det	_	na Giúdaigh
6	Hewnyn	Hew	PROPN	_	_	3	nmod	_	
7-8	v'er	_	_	_	_	_	_	_	
7	v'	bee	VERB	_	Mood=Ind|Tense=Past	6	acl:relcl	_	a bhí tar éis teacht
8	er	er	ADP	_	_	9	case	_	
9	jeet	çheet	NOUN	_	_	7	xcomp	_	
10	magh	magh	ADV	_	_	9	advmod	_	amach
11	gys	gys	ADP	_	_	12	case	_	go dtí
12	Moirrey	Moirrey	PROPN	_	_	9	obl	_	Máire
13	,	,	PUNCT	_	_	15	punct	_	,
14	as	as	CCONJ	_	_	15	cc	_	agus
15-16	v'er	_	_	_	_	_	_	_	
15	v'	bee	VERB	_	Mood=Ind|Tense=Past	7	conj	_	a bhí tar éis feiceáil
16	er	er	ADP	_	_	17	case	_	
17	vakin	fakin	NOUN	_	_	15	xcomp	_	
18	ny	ny	DET	_	_	19	det	_	na
19	reddyn	red	NOUN	_	_	17	obj	_	rudaí
20	ren	jean	VERB	_	Mood=Ind|Tense=Past	19	acl:relcl	_	a rinne
21	Yeesey	Yeesey	PROPN	_	_	20	nsubj	_	Íosa
22	,	,	PUNCT	_	_	15	punct	_	,
23	credjal	credjal	NOUN	_	_	2	xcomp	_	creidiúint
24-25	ayn	_	_	_	_	_	_	_	
24	ayns	ayns	ADP	_	_	25	case	_	ann
25	eh	eh	PRON	_	_	23	obl	_	
26	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_136
# text = Cha row çhengey elley erbee foshlit da tra v'eh ny aegid.
# text_ga = Ní raibh teanga ar bith eile nochta dó nuair a bhí sé ina óige.
1	Cha	cha	PART	_	_	2	mark	_	Ní raibh
2	row	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	
3	çhengey	çhengey	NOUN	_	_	2	nsubj	_	teanga
4	elley	elley	ADJ	_	_	3	amod	_	eile
5	erbee	erbee	ADJ	_	_	3	amod	_	ar bith
6	foshlit	foshlit	ADJ	_	_	2	xcomp:pred	_	oscailte
7-8	da	_	_	_	_	_	_	_	
7	da	da	ADP	_	_	8	case	_	dó
8	eh	eh	PRON	_	_	6	obl	_	
9	tra	tra	SCONJ	_	_	10	mark	_	nuair a bhí sé
10-11	v'eh	_	_	_	_	_	_	_	
10	v'	bee	VERB	_	Mood=Ind|Tense=Past	2	advcl	_	
11	eh	eh	PRON	_	_	10	nsubj	_	
12	ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	13	nmod:poss	_	ina
13	aegid	aegid	NOUN	_	_	10	xcomp:pred	_	óige
14	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_137
# text = Agh ny reddyn shoh ta mish er n'insh diu, tra hig yn earish, dy vod shiu cooinaghtyn dy dinsh mee diu jeu.
# text_ga = D'inis mé an méid sin daoibh ionas go mbeadh cuimhne agaibh, nuair a thiocfaidh an t-am dó, gur inis mé daoibh é.
# text_en = But these things have I told you, that when the time shall come, ye may remember that I told you of them.
1	Agh	agh	CCONJ	_	_	3	cc	_	Ach
2	ny	ny	DET	_	_	3	det	_	na
3	reddyn	red	NOUN	_	_	0	root	_	rudaí
4	shoh	shoh	DET	_	_	3	det	_	seo
5	ta	bee	VERB	_	Mood=Ind|Tense=Pres	3	acl:relcl	_	tá
6	mish	mee	PRON	_	_	5	nsubj	_	mise
7	er	er	ADP	_	_	8	case	_	tar éis insint
8-9	n'insh	_	_	_	_	_	_	_	
8	n'	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	9	nmod:poss	_	
9	insh	insh	NOUN	_	_	5	xcomp	_	
10-11	diu	_	_	_	_	_	_	_	
10	da	da	ADP	_	_	11	case	_	daoibh
11	shiu	shiu	PRON	_	_	9	obl	_	
12	,	,	PUNCT	_	_	14	punct	_	,
13	tra	tra	SCONJ	_	_	14	mark	_	nuair a
14	hig	tar	VERB	_	Mood=Ind|Tense=Fut	19	advcl	_	thiocfaidh
15	yn	yn	DET	_	_	16	det	_	an
16	earish	earish	NOUN	_	_	14	nsubj	_	aimsir
17	,	,	PUNCT	_	_	14	punct	_	,
18	dy	dy	PART	_	_	19	mark	_	gur féidir libh
19	vod	fod	VERB	_	Mood=Ind|Tense=Fut	9	advcl	_	
20	shiu	shiu	PRON	_	_	19	nsubj	_	
21	cooinaghtyn	cooinaghtyn	NOUN	_	_	19	xcomp	_	cuimhneamh
22	dy	dy	PART	_	_	23	mark	_	gur inis
23	dinsh	insh	VERB	_	Mood=Ind|Tense=Past	21	ccomp	_	
24	mee	mee	PRON	_	_	23	nsubj	_	mé
25-26	diu	_	_	_	_	_	_	_	
25	da	da	ADP	_	_	26	case	_	daoibh
26	shiu	shiu	PRON	_	_	23	obl	_	
27-28	jeu	_	_	_	_	_	_	_	
27	jeh	jeh	ADP	_	_	28	case	_	díobh
28	ad	ad	PRON	_	_	23	obl	_	
29	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_138
# text = Cha nod eh lhaih ny screeu.
# text_ga = Níl léamh ná scríobh aige.
# text_en = He can neither read nor write.
1	Cha	cha	PART	_	_	2	mark	_	Ní féidir leis
2	nod	fod	VERB	_	Mood=Ind|Tense=Fut	0	root	_	
3	eh	eh	PRON	_	_	2	nsubj	_	
4	lhaih	lhaih	NOUN	_	_	2	xcomp	_	léamh
5	ny	ny	CCONJ	_	_	6	cc	_	ná
6	screeu	screeu	NOUN	_	_	4	conj	_	scríobh
7	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_139
# text = Coyrle y chur da peiagh dy ve creeney.
# text_ga = Comhairle a chur ar dhuine bheith gaoismhear.
# text_en = Enjoin prudence upon a person.
1	Coyrle	coyrle	NOUN	_	_	3	obj	_	Comhairle
2	y	y	ADP	_	_	3	mark	_	a
3	chur	cur	NOUN	_	_	0	root	_	thabhairt
4	da	da	ADP	_	_	5	case	_	do
5	peiagh	peiagh	NOUN	_	_	3	obl	_	dhuine
6	dy	dy	ADP	_	_	7	case	_	a bheith
7	ve	ve	NOUN	_	_	3	xcomp	_	
8	creeney	creeney	ADJ	_	_	7	xcomp:pred	_	críonna
9	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_140
# text = As son lheead y chooyrt, er y cheu heear, bee curtanyn jeh jeih cubityn as daeed; ny pillaryn jeih as ny mortissyn jeih.
# text_ga = Ar feadh leithe na faiche ar an taobh thiar beidh brait leathchéad banlámh le deich bpolla agus deich gceap.
# text_en = And for the breadth of the court on the west side shall be hangings of fifty cubits: their pillars ten, and their sockets ten.
1	As	as	CCONJ	_	_	3	cc	_	Agus
2	son	son	ADP	_	_	3	case	_	ar son
3	lheead	lheead	NOUN	_	_	12	obl	_	leithead
4	y	yn	DET	_	_	5	det	_	an
5	chooyrt	cooyrt	NOUN	_	_	3	nmod	_	chúirt
6	,	,	PUNCT	_	_	9	punct	_	,
7	er	er	ADP	_	_	9	case	_	ar
8	y	yn	DET	_	_	9	det	_	an
9	cheu	cheu	NOUN	_	_	12	obl	_	taobh thiar
10	heear	sheear	ADJ	_	_	9	amod	_	
11	,	,	PUNCT	_	_	9	punct	_	,
12	bee	bee	VERB	_	Mood=Ind|Tense=Fut	0	root	_	beidh
13	curtanyn	curtan	NOUN	_	_	12	nsubj	_	cuirtíní
14	jeh	jeh	ADP	_	_	15	case	_	de
15	jeih	jeih	NUM	_	_	16	nummod	_	deich mbanlámh
16	cubityn	cubit	NOUN	_	_	13	nmod	_	
17	as	as	CCONJ	_	_	18	cc	_	agus
18	daeed	daeed	NUM	_	_	15	conj	_	daichead
19	;	;	PUNCT	_	_	21	punct	_	;
20	ny	ny	DET	_	_	21	det	_	na colúin
21	pillaryn	pillar	NOUN	_	_	12	parataxis	_	
22	jeih	jeih	NUM	_	_	21	nummod	_	deich
23	as	as	CCONJ	_	_	25	cc	_	agus
24	ny	ny	DET	_	_	25	det	_	na
25	mortissyn	mortis	NOUN	_	_	21	conj	_	moirtísí
26	jeih	jeih	NUM	_	_	25	nummod	_	deich
27	.	.	PUNCT	_	_	12	punct	_	.

# sent_id = aa_141
# text = ‘Ta mee loayrt mychione y theihll.
# text_ga = ‘Táim ag caint faoin saol.
1	‘	‘	PUNCT	_	_	2	punct	_	‘
2	Ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá
3	mee	mee	PRON	_	_	2	nsubj	_	mé
4	loayrt	loayrt	NOUN	_	_	2	xcomp	_	ag labhairt
5	mychione	mychione	ADP	_	_	7	case	_	faoin
6	y	yn	DET	_	_	7	det	_	
7	theihll	seihll	NOUN	_	_	4	obl	_	domhain
8	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_142
# text = Liorish yn saase shoh, ver-ym ad fo coadey Yee dy chooilley voghrey as fastyr.
# text_en = By this means, I shall put them under God’s protection every morning and evening.
1	Liorish	liorish	ADP	_	_	3	case	_	Ag
2	yn	yn	DET	_	_	3	det	_	an
3	saase	saase	NOUN	_	_	6	obl	_	áis
4	shoh	shoh	DET	_	_	3	det	_	seo
5	,	,	PUNCT	_	_	3	punct	_	,
6	ver-ym	cur	VERB	_	Mood=Ind|Number=Sing|Person=1|Tense=Fut	0	root	_	cuirfidh mé
7	ad	ad	PRON	_	_	6	obj	_	iad
8	fo	fo	ADP	_	_	9	case	_	faoi
9	coadey	coadey	NOUN	_	_	6	obl	_	cosaint
10	Yee	Jee	PROPN	_	_	9	nmod	_	Dhia
11	dy	dy	DET	_	_	13	det	_	gach uile
12	chooilley	chooilley	DET	_	_	11	fixed	_	
13	voghrey	moghrey	NOUN	_	_	6	obl:tmod	_	mhaidin
14	as	as	CCONJ	_	_	15	cc	_	agus
15	fastyr	fastyr	NOUN	_	_	13	conj	_	tráthnóna
16	.	.	PUNCT	_	_	6	punct	_	.

# sent_id = aa_143
# text = Ahh, she cronney creoi t'er chur orrym shoh.
# text_en = Ahh, it's a cruel destiny that has brought me to this.
1	Ahh	ahh	INTJ	_	_	4	discourse	_	Ahh
2	,	,	PUNCT	_	_	1	punct	_	,
3	she	she	AUX	_	_	4	cop	_	is
4	cronney	cronney	NOUN	_	_	0	root	_	cuid
5	creoi	creoi	ADJ	_	_	4	amod	_	crua
6-7	t'er	_	_	_	_	_	_	_	
6	t'	bee	VERB	_	Mood=Ind|Tense=Pres	4	csubj:cleft	_	atá tar éis cur
7	er	er	ADP	_	_	8	case	_	
8	chur	cur	NOUN	_	_	6	xcomp	_	
9-10	orrym	_	_	_	_	_	_	_	
9	er	er	ADP	_	_	10	case	_	orm
10	mee	mee	PRON	_	_	8	obl	_	
11	shoh	shoh	PRON	_	_	8	obj	_	é seo
12	.	.	PUNCT	_	_	4	punct	_	.

# sent_id = aa_144
# text = Ayns ny pabyryn naight ta shiu lhaih ram boghtynid mychione "apartheid" as y lhied as yn drogh-ghellal ta ny deiney doo geddyn voish ny deiney baney 'syn Africkey.
1	Ayns	ayns	ADP	_	_	3	case	_	Sna
2	ny	ny	DET	_	_	3	det	_	
3	pabyryn	pabyr	NOUN	_	_	7	obl	_	nuachtáin
4	naight	naight	NOUN	_	_	3	nmod	_	
5	ta	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	tá
6	shiu	shiu	PRON	_	_	5	nsubj	_	sibh
7	lhaih	lhaih	NOUN	_	_	5	xcomp	_	ag léamh
8	ram	ram	NOUN	_	_	7	obj	_	a lán
9	boghtynid	boghtynid	NOUN	_	_	8	nmod	_	seafóide
10	mychione	mychione	ADP	_	_	12	case	_	faoi
11	"	"	PUNCT	_	_	12	punct	_	"
12	apartheid	apartheid	NOUN	_	_	9	nmod	_	apartheid
13	"	"	PUNCT	_	_	12	punct	_	"
14	as	as	CCONJ	_	_	16	cc	_	agus
15	y	yn	DET	_	_	16	det	_	a
16	lhied	lhied	NOUN	_	_	12	conj	_	leithéid
17	as	as	CCONJ	_	_	19	cc	_	agus
18	yn	yn	DET	_	_	19	det	_	an
19	drogh-ghellal	drogh-ghellal	NOUN	_	_	12	conj	_	drochíde
20	ta	bee	VERB	_	Mood=Ind|Tense=Pres	19	acl:relcl	_	atá
21	ny	ny	DET	_	_	22	det	_	na daoine
22	deiney	dooinney	NOUN	_	_	20	nsubj	_	
23	doo	doo	ADJ	_	_	22	amod	_	dubha
24	geddyn	geddyn	NOUN	_	_	20	xcomp	_	ag fáil
25	voish	voish	ADP	_	_	27	case	_	ó
26	ny	ny	DET	_	_	27	det	_	na daoine
27	deiney	dooinney	NOUN	_	_	24	obl	_	
28	baney	bane	ADJ	_	_	27	amod	_	bána
29-30	'syn	_	_	_	_	_	_	_	
29	ayns	ayns	ADP	_	_	31	case	_	san
30	yn	yn	DET	_	_	31	det	_	
31	Africkey	Africkey	PROPN	_	_	24	obl	_	Afraic
32	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_145
# text = Va George er-aggle as ren eh chyndaa mygeayrt as hie eh dys yn ghiat y raad elley mygeayrt ny boayllyn elley.
# text_ga = Bhí George faoi eagla agus thiontaigh sé thart agus chuaigh sé go dtí an geata an bealach eile timpeall na n-áiteanna eile.
1	Va	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	Bhí
2	George	George	PROPN	_	_	1	nsubj	_	George
3-4	er-aggle	_	_	_	_	_	_	_	
3	er	er	ADP	_	_	4	case	_	ar eagla
4	aggle	aggle	NOUN	_	_	1	xcomp:pred	_	
5	as	as	CCONJ	_	_	6	cc	_	agus
6	ren	jean	VERB	_	Mood=Ind|Tense=Past	1	conj	_	rinne
7	eh	eh	PRON	_	_	6	nsubj	_	sé
8	chyndaa	chyndaa	NOUN	_	_	6	xcomp	_	iompú
9	mygeayrt	mygeayrt	ADV	_	_	8	advmod	_	timpeall
10	as	as	CCONJ	_	_	11	cc	_	agus
11	hie	gow	VERB	_	Mood=Ind|Tense=Past	1	conj	_	chuaigh
12	eh	eh	PRON	_	_	11	nsubj	_	sé
13	dys	dys	ADP	_	_	15	case	_	go dtí an
14	yn	yn	DET	_	_	15	det	_	
15	ghiat	giat	NOUN	_	_	11	obl	_	geata
16	y	yn	DET	_	_	17	det	_	an
17	raad	raad	NOUN	_	_	11	obl	_	bealach
18	elley	elley	ADJ	_	_	17	amod	_	eile
19	mygeayrt	mygeayrt	ADP	_	_	21	case	_	timpeall
20	ny	ny	DET	_	_	21	det	_	na háiteanna
21	boayllyn	boayl	NOUN	_	_	17	nmod	_	
22	elley	elley	ADJ	_	_	21	amod	_	eile
23	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_146
# text = Shoh kindagh rish argane va currit da reiltys Vannin ec colught Manx Ices Ltd (as adsyn er nyn maroo nish) er yn oyr dy vel sleih nish lowit riojag veih'n Hostyn bunnys gyn bainney y chreck ayns Mannin, agh cha nel sleih ayns Mannin lowit yn lheid cheddin y yannoo.
1	Shoh	shoh	PRON	_	_	0	root	_	Seo
2	kindagh	kindagh	ADP	_	_	4	case	_	mar gheall ar
3	rish	rish	ADP	_	_	2	fixed	_	
4	argane	argane	NOUN	_	_	1	nmod	_	chíréib
5	va	bee	VERB	_	Mood=Ind|Tense=Past	4	acl:relcl	_	a bhí
6	currit	currit	ADJ	_	_	5	xcomp:pred	_	tugtha
7	da	da	ADP	_	_	8	case	_	do
8	reiltys	reiltys	NOUN	_	_	6	obl	_	rialtas
9	Vannin	Mannin	PROPN	_	_	8	nmod	_	Mhanann
10	ec	ec	ADP	_	_	11	case	_	ag
11	colught	colught	NOUN	_	_	6	obl	_	comhlacht
12	Manx	Manx	PROPN	_	_	11	nmod	_	Manx
13	Ices	Ices	PROPN	_	_	12	flat	_	Ices
14	Ltd	Ltd	PROPN	_	_	12	flat	_	Ltd
15	(	(	PUNCT	_	_	17	punct	_	(
16	as	as	SCONJ	_	_	17	mark	_	agus
17	adsyn	ad	PRON	_	_	5	advcl	_	iadsan
18	er	er	ADP	_	_	20	case	_	á
19	nyn	nyn	DET	_	Number=Plur|Person=3|Poss=Yes	20	nmod:poss	_	
20	maroo	marroo	NOUN	_	_	17	xcomp	_	
21	nish	nish	ADV	_	_	20	advmod	_	anois
22	)	)	PUNCT	_	_	17	punct	_	)
23	er	er	ADP	_	_	25	case	_	de bhrí
24	yn	yn	DET	_	_	25	det	_	
25	oyr	oyr	NOUN	_	_	6	obl	_	
26	dy	dy	PART	_	_	27	mark	_	go bhfuil
27	vel	bee	VERB	_	Mood=Ind|Tense=Pres	25	acl	_	
28	sleih	sleih	NOUN	_	_	27	nsubj	_	slua
29	nish	nish	ADV	_	_	27	advmod	_	anois
30	lowit	lowit	ADJ	_	_	27	xcomp:pred	_	ceadaithe
31	riojag	riojag	NOUN	_	_	39	obj	_	uachtar reoite
32-33	veih'n	_	_	_	_	_	_	_	
32	veih	veih	ADP	_	_	34	case	_	ón
33	yn	yn	DET	_	_	34	det	_	
34	Hostyn	Sostyn	PROPN	_	_	31	nmod	_	Shasana
35	bunnys	bunnys	ADV	_	_	37	advmod	_	beagnach
36	gyn	gyn	ADP	_	_	37	case	_	gan
37	bainney	bainney	NOUN	_	_	31	nmod	_	bainne
38	y	y	ADP	_	_	39	mark	_	a
39	chreck	creck	NOUN	_	_	30	xcomp	_	dhíol
40	ayns	ayns	ADP	_	_	41	case	_	i
41	Mannin	Mannin	PROPN	_	_	39	obl	_	Manainn
42	,	,	PUNCT	_	_	45	punct	_	,
43	agh	agh	CCONJ	_	_	45	cc	_	ach
44	cha	cha	PART	_	_	45	mark	_	níl
45	nel	bee	VERB	_	Mood=Ind|Tense=Pres	27	conj	_	
46	sleih	sleih	NOUN	_	_	45	nsubj	_	slua
47	ayns	ayns	ADP	_	_	48	case	_	i
48	Mannin	Mannin	PROPN	_	_	46	nmod	_	Manainn
49	lowit	lowit	ADJ	_	_	45	xcomp:pred	_	ceadaithe
50	yn	yn	DET	_	_	51	det	_	an
51	lheid	lheid	NOUN	_	_	54	obj	_	leithéid
52	cheddin	cheddin	ADJ	_	_	51	amod	_	chéanna
53	y	y	ADP	_	_	54	mark	_	a
54	yannoo	jannoo	NOUN	_	_	49	xcomp	_	dhéanamh
55	.	.	PUNCT	_	_	5	punct	_	.

# sent_id = aa_147
# text = Ny skeeal giare, dy jarroo.
# text_ga = Ina ghearrscéal, le fírinne.
1	Ny	ny	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	2	nmod:poss	_	Ina
2	skeeal	skeeal	NOUN	_	_	0	root	_	ghearrscéal
3	giare	giare	ADJ	_	_	2	amod	_	
4	,	,	PUNCT	_	_	6	punct	_	,
5	dy	dy	PART	_	_	6	mark	_	go deimhin
6	jarroo	jarroo	ADJ	_	_	2	amod	_	
7	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_148
# text = As un omer son un eayn, gour ny shiaght eayin er-lheh.
# text_ga = agus deachú do gach ceann de na seacht n-uan.
# text_en = And one tenth deal for one lamb, throughout the seven lambs:
1	As	as	CCONJ	_	_	3	cc	_	Agus
2	un	un	NUM	_	_	3	nummod	_	aon
3	omer	omer	NOUN	_	_	0	root	_	ómar
4	son	son	ADP	_	_	6	case	_	ar son
5	un	un	NUM	_	_	6	nummod	_	aon
6	eayn	eayn	NOUN	_	_	3	nmod	_	uain
7	,	,	PUNCT	_	_	11	punct	_	,
8	gour	gour	ADP	_	_	11	case	_	i dtreo
9	ny	ny	DET	_	_	11	det	_	na
10	shiaght	shiaght	NUM	_	_	11	nummod	_	seacht
11	eayin	eayn	NOUN	_	_	6	nmod	_	uain
12-13	er-lheh	_	_	_	_	_	_	_	
12	er	er	ADP	_	_	13	case	_	ar leith
13	lheh	lheh	NOUN	_	_	11	nmod	_	
14	.	.	PUNCT	_	_	3	punct	_	.

# sent_id = aa_149
# text = Shoh yn leigh mychione ny beiyn, as mychione ny eeanlee, as mychione dy chooilley chretoor bio ta snaue ayns ny ushtaghyn, as dy chooilley chretoor ta snaue er yn ooir.
# text_ga = Sin é an dlí i dtaobh na n-ainmhithe go léir, na n-éan go léir, na ndúl beo go léir a shnámhann sna huiscí, agus na míol go léir a shnámhann ar talamh,
# text_en = This is the law of the beasts, and of the fowl, and of every living creature that moveth in the waters, and of every creature that creepeth upon the earth:
1	Shoh	shoh	PRON	_	_	0	root	_	Seo
2	yn	yn	DET	_	_	3	det	_	an
3	leigh	leigh	NOUN	_	_	1	nsubj	_	dlí
4	mychione	mychione	ADP	_	_	6	case	_	faoi
5	ny	ny	DET	_	_	6	det	_	na hainmhithe
6	beiyn	baagh	NOUN	_	_	3	nmod	_	
7	,	,	PUNCT	_	_	11	punct	_	,
8	as	as	CCONJ	_	_	11	cc	_	agus
9	mychione	mychione	ADP	_	_	11	case	_	faoi
10	ny	ny	DET	_	_	11	det	_	na
11	eeanlee	eeanlee	NOUN	_	_	6	conj	_	éanlaith
12	,	,	PUNCT	_	_	17	punct	_	,
13	as	as	CCONJ	_	_	17	cc	_	agus
14	mychione	mychione	ADP	_	_	17	case	_	faoi
15	dy	dy	DET	_	_	17	det	_	gach uile
16	chooilley	chooilley	DET	_	_	15	fixed	_	
17	chretoor	cretoor	NOUN	_	_	6	conj	_	chréatúr
18	bio	bio	ADJ	_	_	17	amod	_	beo
19	ta	bee	VERB	_	Mood=Ind|Tense=Pres	17	acl:relcl	_	tá
20	snaue	snaue	NOUN	_	_	19	xcomp	_	snámh
21	ayns	ayns	ADP	_	_	23	case	_	sna
22	ny	ny	DET	_	_	23	det	_	
23	ushtaghyn	ushtey	NOUN	_	_	20	obl	_	uiscí
24	,	,	PUNCT	_	_	28	punct	_	,
25	as	as	CCONJ	_	_	28	cc	_	agus
26	dy	dy	DET	_	_	28	det	_	gach uile
27	chooilley	chooilley	DET	_	_	26	fixed	_	
28	chretoor	cretoor	NOUN	_	_	6	conj	_	chréatúr
29	ta	bee	VERB	_	Mood=Ind|Tense=Pres	28	acl:relcl	_	tá
30	snaue	snaue	NOUN	_	_	29	xcomp	_	snámh
31	er	er	ADP	_	_	33	case	_	ar
32	yn	yn	DET	_	_	33	det	_	an
33	ooir	ooir	NOUN	_	_	30	obl	_	talamh
34	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_150
# text = Ansherbee, cha row shin jannoo red erbee aggairagh.
1	Ansherbee	ansherbee	ADV	_	_	4	advmod	_	Cibé scéal é
2	,	,	PUNCT	_	_	1	punct	_	,
3	cha	cha	PART	_	_	4	mark	_	ní raibh
4	row	bee	VERB	_	Mood=Ind|Tense=Past	0	root	_	
5	shin	shin	PRON	_	_	4	nsubj	_	muid
6	jannoo	jannoo	NOUN	_	_	4	xcomp	_	ag déanamh
7	red	red	NOUN	_	_	6	obj	_	rud ar bith
8	erbee	erbee	ADJ	_	_	7	amod	_	
9	aggairagh	aggairagh	ADJ	_	_	7	amod	_	mícheart
10	.	.	PUNCT	_	_	4	punct	_	.

# sent_id = aa_151
# text = Bee ee fakin e vraar noght.
1	Bee	bee	VERB	_	Mood=Ind|Tense=Fut	0	root	_	Beidh
2	ee	ee	PRON	_	_	1	nsubj	_	sí
3	fakin	fakin	NOUN	_	_	1	xcomp	_	ag feiceáil
4	e	e	DET	_	Gender=Masc|Number=Sing|Person=3|Poss=Yes	5	nmod:poss	_	a
5	vraar	braar	NOUN	_	_	3	obj	_	dheartháir
6	noght	noght	ADV	_	_	3	advmod	_	anocht
7	.	.	PUNCT	_	_	1	punct	_	.

# sent_id = aa_152
# text = Cha nel mee lowit jannoo shen, t'ou toiggal.
# text_en = I'm not allowed to do it, you know.
1	Cha	cha	PART	_	_	2	mark	_	Níl
2	nel	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	
3	mee	mee	PRON	_	_	2	nsubj	_	bheidh
4	lowit	lowit	ADJ	_	_	3	xcomp:pred	_	ceadaithe
5	jannoo	jannoo	NOUN	_	_	4	xcomp	_	é sin a dhéanamh
6	shen	shen	PRON	_	_	5	obj	_	
7	,	,	PUNCT	_	_	8	punct	_	,
8-9	t'ou	_	_	_	_	_	_	_	
8	t'	bee	VERB	_	Mood=Ind|Tense=Pres	2	parataxis	_	tá tú
9	ou	ou	PRON	_	_	8	nsubj	_	
10	toiggal	toiggal	NOUN	_	_	8	xcomp	_	ag tuiscint
11	.	.	PUNCT	_	_	2	punct	_	.

# sent_id = aa_153
# text = T'ou uss mie as graysoil: O ynsee dou dty lattyssyn.
# text_ga = Is maith tú, is fial tú agus is flaithiúil; múin dom do reachtanna.
# text_en = Thou art good, and doest good; teach me thy statutes.
1-2	T'ou	_	_	_	_	_	_	_	
1	T'	bee	VERB	_	Mood=Ind|Tense=Pres	0	root	_	Tá tusa
2	ou	ou	PRON	_	_	1	nsubj	_	
